classification,trades,accounts,gross_pnl,fees,net_pnl,avg_trade_pnl,avg_size_usd,closing_trades,win_rate,avg_closed_pnl,median_closed_pnl
Extreme Fear,21400,32,739110.24849,23888.6339393869,715221.6145506131,34.53786207897196,5349.7318429906545,10406,0.7621564482029598,71.02731582644628,6.38805
Fear,61837,32,3357155.441642,92456.9486741548,3264698.4929678454,54.2903996254993,7816.109930785776,29808,0.8728864734299517,112.62598770940687,6.3504830000000005
Neutral,37686,31,1292920.67555,39374.2683038708,1253546.4072461291,34.30771839807886,4782.732661465797,18159,0.8238889806707418,71.19999314664905,4.583458
Greed,50303,31,2150129.272951,63098.6919791683,2087030.5809718317,42.74355948851957,5736.884375086974,25176,0.7689068954559898,85.40392727005879,4.9276
Extreme Greed,39992,30,2715171.310673,27030.66546515,2688140.64520785,67.89286133909282,3112.2515645629123,20853,0.8916702632714717,130.20530910051312,8.53074
